City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port saint john's,-31.6229,29.5448,20.2,90,100,2.5,ZA,1730667000
1,waitangi,-43.9535,-176.5597,9.9,74,92,3.13,NZ,1730667002
2,constantia,44.1833,28.65,1.38,37,39,2.03,RO,1730667003
3,talnakh,69.4865,88.3972,-11.29,78,94,4.68,RU,1730667004
4,papatowai,-46.5619,169.4708,10.63,64,100,3.24,NZ,1730667005
5,yellowknife,62.456,-114.3525,-1.99,99,100,4.12,CA,1730667006
6,bethel,41.3712,-73.414,12.05,34,0,2.57,US,1730667008
7,grytviken,-54.2811,-36.5092,0.67,73,46,9.5,GS,1730667009
8,olyokminsk,60.3736,120.4264,-19.0,100,95,0.4,RU,1730667010
9,fedorovskiy,45.0972,40.9517,1.86,70,23,2.55,RU,1730667011
10,tommot,58.9564,126.2925,-13.35,98,100,0.51,RU,1730667012
11,iqaluit,63.7506,-68.5145,-7.15,79,100,5.66,CA,1730667013
12,puerto natales,-51.7236,-72.4875,14.25,38,100,4.63,CL,1730667014
13,ales,44.1333,4.0833,12.62,78,7,1.13,FR,1730667016
14,harnosand,62.6323,17.9379,-1.0,65,1,7.18,SE,1730667017
15,punta arenas,-53.15,-70.9167,15.06,33,40,3.09,CL,1730667018
16,upington,-28.4478,21.2561,26.21,12,2,4.63,ZA,1730667019
17,guacimo,10.2104,-83.6807,28.62,75,85,2.06,CR,1730667020
18,tura,25.5198,90.2201,19.56,91,0,1.66,IN,1730667021
19,vila franca do campo,37.7167,-25.4333,19.23,99,50,6.64,PT,1730667022
20,claveria,18.6074,121.0832,25.28,90,65,5.38,PH,1730667024
21,olonkinbyen,70.9221,-8.7187,0.0,85,100,6.72,SJ,1730667025
22,mareeba,-17.0,145.4333,20.13,86,33,1.53,AU,1730667026
23,margaret river,-33.95,115.0667,11.38,80,13,0.88,AU,1730667027
24,contamana,-7.3333,-75.0167,34.92,37,100,1.59,PE,1730667028
25,dzhambeyty,50.2536,52.595,-0.71,61,17,3.42,KZ,1730667029
26,ust-nera,64.5667,143.2,-24.98,100,99,2.25,RU,1730667030
27,kruisfontein,-34.0033,24.7314,15.73,78,88,6.15,ZA,1730667032
28,edinburgh of the seven seas,-37.0676,-12.3116,12.14,66,94,6.61,SH,1730667033
29,balaklava,44.5,33.6,4.65,46,41,3.35,UA,1730667034
30,salym,60.0625,71.4789,-1.8,67,100,8.34,RU,1730667035
31,walvis bay,-22.9575,14.5053,14.53,88,5,1.54,NA,1730667036
32,happy valley-goose bay,53.3168,-60.3315,1.17,44,75,8.23,CA,1730667037
33,hithadhoo,-0.6,73.0833,27.7,71,13,5.38,MV,1730667038
34,maitum,6.0392,124.4986,25.03,86,23,1.95,PH,1730667040
35,port-aux-francais,-49.35,70.2167,4.87,88,10,11.82,TF,1730667041
36,uturoa,-16.7333,-151.4333,25.74,67,4,1.76,PF,1730667042
37,katsuura,35.1333,140.3,17.7,66,0,1.26,JP,1730667043
38,fortuna,40.5982,-124.1573,15.52,72,0,6.17,US,1730667044
39,anadyr,64.75,177.4833,-9.72,78,0,8.0,RU,1730667045
40,georgetown,5.4112,100.3354,26.97,83,20,2.24,MY,1730667046
41,avarua,-21.2078,-159.775,27.03,74,64,5.66,CK,1730667048
42,peniche,39.3558,-9.3811,20.67,77,100,3.83,PT,1730667049
43,vidigueira,38.1845,-7.7447,18.23,72,100,2.15,PT,1730667050
44,adamstown,-25.066,-130.1015,20.76,74,60,4.88,PN,1730667051
45,albany,42.6001,-73.9662,8.57,48,3,1.38,US,1730666777
46,arraial do cabo,-22.9661,-42.0278,24.98,83,75,10.29,BR,1730667053
47,zheleznogorsk-ilimskiy,56.5768,104.1217,-7.97,84,96,1.93,RU,1730667056
